adp_rank,name,position,team,adp,adp_formatted,high,low,stdev,times_drafted,bye,source,scoring,league_size,total_drafts,sample_start,sample_end,snapshot_date
76,Chuba Hubbard,RB,CAR,74.9,7.03,52,101,8.6,261,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
77,Rico Dowdle,RB,PIT,76.6,7.05,54,100,8.4,418,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
78,Kyle Pitts Sr.,TE,ATL,76.8,7.05,54,99,8.6,345,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
79,Michael Wilson,WR,ARI,77.0,7.05,56,105,8.0,980,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
80,Matthew Stafford,QB,LAR,77.9,7.06,47,110,12.2,351,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
81,Harold Fannin Jr.,TE,CLE,78.2,7.06,57,93,7.9,194,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
82,Jalen Hurts,QB,PHI,80.7,7.09,50,120,11.6,692,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
83,Chris Godwin Jr.,WR,TB,80.8,7.09,59,102,8.4,983,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
84,Josh Downs,WR,IND,81.9,7.10,60,101,8.1,962,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
85,Seattle Defense,DEF,SEA,82.8,7.11,64,105,7.6,154,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
86,Jadarian Price,RB,SEA,82.9,7.11,50,117,12.3,2492,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
87,RJ Harvey,RB,DEN,83.6,7.12,59,115,9.2,480,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
88,Wan'Dale Robinson,WR,TEN,85.6,8.02,62,105,8.7,579,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
89,Sam LaPorta,TE,DET,87.4,8.03,48,148,14.8,648,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
90,Denver Defense,DEF,DEN,87.8,8.04,66,109,8.1,324,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
91,Caleb Williams,QB,CHI,88.1,8.04,55,125,12.5,839,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
92,Jakobi Meyers,WR,JAX,88.2,8.04,66,105,8.3,307,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
93,Brock Purdy,QB,SF,89.0,8.05,54,115,13.2,246,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
94,Kenny Gainwell,RB,TB,89.5,8.06,61,120,10.7,568,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
95,Quentin Johnston,WR,LAC,92.2,8.08,70,120,8.3,747,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
96,Stefon Diggs,WR,WAS,92.2,8.08,68,117,9.3,1035,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
97,Jayden Reed,WR,GB,92.7,8.09,70,113,8.7,381,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
98,Trevor Lawrence,QB,JAX,93.5,8.10,60,129,12.7,851,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
99,Keon Coleman,WR,BUF,94.2,8.10,1,177,54.4,6,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
100,Houston Defense,DEF,HOU,95.8,8.12,70,118,9.8,575,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
101,J.K. Dobbins,RB,DEN,97.8,9.02,65,140,12.4,759,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
102,Jordan Addison,WR,MIN,98.8,9.03,76,120,8.7,515,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
103,Jordyn Tyson,WR,NO,100.0,9.04,74,127,9.8,656,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
104,Aaron Jones Sr.,RB,MIN,100.1,9.04,67,130,12.7,457,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
