adp_rank,name,position,team,adp,adp_formatted,high,low,stdev,times_drafted,bye,source,scoring,league_size,total_drafts,sample_start,sample_end,snapshot_date
204,Travis Hunter,WR,JAX,160.2,14.04,89,207,27.3,64,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
205,Jonah Coleman,RB,DEN,160.4,14.04,122,179,18.4,40,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
206,Brian Robinson,RB,ATL,160.5,14.04,97,207,26.9,32,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
207,Wil Lutz,PK,DEN,160.5,14.05,115,207,17.8,148,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
208,Tyler Allgeier,RB,ARI,160.5,14.05,102,204,22.2,142,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
209,Harrison Butker,PK,KC,160.6,14.05,115,201,17.3,134,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
210,Adonai Mitchell,WR,NYJ,160.8,14.05,117,180,16.5,64,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
211,Baltimore Defense,DEF,BAL,161.2,14.05,120,209,15.8,445,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
212,Malik Willis,QB,MIA,161.8,14.06,131,194,12.0,186,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
213,James Conner,RB,ARI,162.2,14.06,104,203,26.9,23,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
214,Chig Okonkwo,TE,WAS,162.3,14.06,118,200,21.4,34,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
215,Cleveland Defense,DEF,CLE,163.0,14.07,125,206,14.5,249,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
216,Nick Folk,PK,ATL,163.4,14.07,136,200,24.8,7,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
217,Tank Bigsby,RB,PHI,163.4,14.07,112,208,20.1,108,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
218,Kansas City Defense,DEF,KC,164.1,14.08,124,201,25.2,9,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
219,Eddy Piñeiro,PK,SF,164.2,14.08,140,201,15.7,47,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
220,Tyler Bass,PK,BUF,164.8,14.09,139,209,22.6,14,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
221,Brenton Strange,TE,JAX,164.9,14.09,127,197,16.1,102,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
222,Kenyon Sadiq,TE,NYJ,165.2,14.09,124,201,17.6,32,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
223,Andy Borregales,PK,NE,165.5,14.09,124,194,18.2,15,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
224,Omar Cooper Jr.,WR,NYJ,165.6,14.10,109,202,21.6,34,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
225,Jacoby Brissett,QB,ARI,165.8,14.10,108,200,22.1,25,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
226,Cairo Santos,PK,CHI,165.8,14.10,140,202,15.5,38,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
227,Keaton Mitchell,RB,LAC,166.2,14.10,96,210,26.9,72,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
228,Jaydon Blue,RB,DAL,166.5,14.10,150,174,9.0,6,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
229,Chicago Defense,DEF,CHI,166.6,14.11,133,209,19.0,16,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
230,Jalen Tolbert,WR,MIA,166.6,14.11,155,180,12.0,5,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
231,Brandon Aiyuk,WR,SF,166.6,14.11,141,196,19.7,5,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
232,Ryan Flournoy,WR,DAL,166.9,14.11,148,200,14.7,21,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
233,Ray Davis,RB,BUF,167.4,14.11,129,207,17.9,19,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
234,Tre' Harris,WR,LAC,167.7,14.12,133,202,20.9,19,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
235,Blake Grupe,PK,IND,168.1,14.12,141,210,17.4,43,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
236,Dallas Defense,DEF,DAL,168.7,15.01,123,207,19.0,49,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
237,Malachi Fields,WR,NYG,168.8,15.01,108,209,40.0,6,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
238,MarShawn Lloyd,RB,GB,169.0,15.01,126,204,17.4,22,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
239,Kayshon Boutte,WR,NE,169.1,15.01,125,199,16.8,49,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
240,T.J. Hockenson,TE,MIN,169.4,15.01,117,209,20.7,52,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
241,Justice Hill,RB,BAL,169.5,15.02,130,202,15.1,25,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
242,Evan McPherson,PK,CIN,169.8,15.02,136,210,15.6,100,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
243,Emmett Johnson,RB,KC,170.0,15.02,149,199,19.4,5,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
244,Antonio Williams,WR,WAS,170.2,15.02,159,180,7.5,9,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
245,Germie Bernard,WR,PIT,170.7,15.03,143,204,14.6,31,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
246,Aaron Rodgers,QB,PIT,170.8,15.03,101,209,26.5,21,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
247,Samaje Perine,RB,CIN,171.4,15.03,150,181,11.5,7,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
248,Dontayvion Wicks,WR,PHI,171.6,15.04,128,207,16.4,114,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
249,Cam Ward,QB,TEN,171.8,15.04,129,208,17.5,48,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
250,NY Giants Defense,DEF,NYG,172.2,15.04,118,209,23.5,33,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
251,Bryce Young,QB,CAR,172.2,15.04,139,209,15.9,28,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
252,Kaden Wetjen,WR,PIT,172.6,15.05,170,177,3.1,16,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
253,Zachariah Branch,WR,ATL,172.8,15.05,164,177,5.3,5,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
254,Tennessee Defense,DEF,TEN,173.1,15.05,141,209,13.1,68,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
255,Cincinnati Defense,DEF,CIN,173.3,15.05,124,210,24.7,35,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
256,Atlanta Defense,DEF,ATL,173.4,15.05,141,210,12.2,85,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
257,Terrance Ferguson,TE,LAR,174.1,15.06,156,196,14.0,8,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
258,Greg Dulcich,TE,MIA,174.7,15.07,125,206,19.0,30,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
259,Darius Slayton,WR,NYG,174.9,15.07,137,189,15.9,9,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
260,Isaac TeSlaa,WR,DET,175.3,15.07,145,210,25.1,18,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
261,Caleb Douglas,WR,MIA,178.1,15.10,122,207,25.0,42,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
262,New Orleans Defense,DEF,NO,179.6,15.12,128,210,20.1,39,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
263,Xavier Legette,WR,CAR,180.4,15.12,123,205,29.7,7,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
264,Pat Freiermuth,TE,PIT,188.9,16.09,163,210,18.4,9,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
265,Washington Defense,DEF,WAS,190.1,16.10,116,210,29.5,11,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
266,Dominic Zvada,PK,NYG,192.4,16.12,167,201,14.4,5,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
