area,role,2025_leader,interim_if_any,2026_leader,effective_or_announcement_date,evidence_class,source_url,last_verified
team,Head Coach,Dan Quinn,,Dan Quinn,2024-02-03,official_team_profile,https://www.commanders.com/team/coaches-roster/,2026-08-17
offense,Offensive Coordinator,Kliff Kingsbury,,David Blough,2026-01-10,official_team_announcement,https://www.commanders.com/news/commanders-name-david-blough-offensive-coordinator,2026-08-17
defense,Defensive Coordinator,Joe Whitt Jr.,,Daronte Jones,2026-03-02,official_team_staff_release,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
special_teams,Special Teams Coordinator,Larry Izzo,,Larry Izzo,2026-03-02,official_team_staff_release,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
