area,role,2025_leader,interim_if_any,2026_leader,effective_or_announcement_date,evidence_class,source_url,last_verified
team,Head Coach,Brian Callahan,,Robert Saleh,2026-01-22,official hire announcement,https://www.tennesseetitans.com/news/it-s-official-titans-hire-robert-saleh-as-team-s-new-head-coach,2026-08-17
offense,Offensive Coordinator,Nick Holz,,Brian Daboll,2026-01-27,official hire announcement,https://www.tennesseetitans.com/news/titans-hire-brian-daboll-as-offensive-coordinator,2026-08-17
defense,Defensive Coordinator,Dennard Wilson,,Gus Bradley,2026-02-04,official hire announcement,https://www.tennesseetitans.com/news/titans-hire-gus-bradley-as-defensive-coordinator,2026-08-17
special_teams,Special Teams Coordinator,John Fassel,,John Fassel,2026-01-29,official retention announcement,https://www.tennesseetitans.com/news/titans-retain-john-fassel-as-special-teams-coordinator,2026-08-17
personnel,General Manager,Mike Borgonzi,,Mike Borgonzi,2026-07-27,official training camp preview,https://www.tennesseetitans.com/news/tennessee-titans-training-camp-preview,2026-08-17
